order_id,user_id,product_id,product_name,order_status,payment_status,fulfillment_status,tracking_number,carrier,estimated_delivery_time,is_cancelable,is_refundable,created_at,updated_at,mock_note
MOCK202606260015,mock_user_008,makeup_api:835,Superbalanced&trade; Makeup,cancelled,refunded,not_shipped,,,,false,false,2026-05-31T18:56:29+00:00,2026-06-02T19:56:29+00:00,Mock order only; no real customer data.
MOCK202606260016,mock_user_001,makeup_api:206,Wet n Wild ProLine Felt Tip Eyeliner,exception,paid,shipping_exception,ZTO7139785053,ZTO Express,2026-07-03,false,true,2026-06-09T17:56:29+00:00,2026-06-11T09:56:29+00:00,Mock order only; no real customer data.
MOCK202606260017,mock_user_002,makeup_api:762,Long Last Lipstick,pending_payment,unpaid,not_shipped,,,,true,false,2026-06-25T02:56:29+00:00,2026-06-25T20:56:29+00:00,Mock order only; no real customer data.
MOCK202606260018,mock_user_003,makeup_api:812,Lid Smoothie&trade; Antioxidant 8-Hour Eye Colour,paid,paid,processing,,,,true,true,2026-06-25T23:56:29+00:00,2026-06-27T22:56:29+00:00,Mock order only; no real customer data.
MOCK202606260019,mock_user_004,makeup_api:192,Physicians Formula Shimmer Strips Kohl Kajal Eyeliner Trio,paid,paid,shipped,SF4775980388,SF Express,2026-06-30,false,true,2026-06-23T15:56:29+00:00,2026-06-26T19:56:29+00:00,Mock order only; no real customer data.
MOCK202606260020,mock_user_005,makeup_api:906,Concealer Jar,paid,paid,shipped,YTO1403744184,YTO Express,2026-07-01,false,true,2026-05-28T23:56:29+00:00,2026-05-29T06:56:29+00:00,Mock order only; no real customer data.
MOCK202606260021,mock_user_006,makeup_api:72,Maybelline Color Sensational Vivids Lipcolour,completed,paid,delivered,JD5206855425,JD Logistics,2026-06-25,false,true,2026-06-19T21:56:29+00:00,2026-06-20T18:56:29+00:00,Mock order only; no real customer data.
MOCK202606260022,mock_user_007,makeup_api:895,Pro Foundation Mixer,refund_requested,paid,delivered,SF5538245253,SF Express,2026-06-24,false,true,2026-05-29T00:56:29+00:00,2026-06-01T21:56:29+00:00,Mock order only; no real customer data.
MOCK202606260023,mock_user_008,makeup_api:135,Pure Anada Princess Cosmetics Sugar Plum Kit,cancelled,refunded,not_shipped,,,,false,false,2026-06-17T01:56:29+00:00,2026-06-18T00:56:29+00:00,Mock order only; no real customer data.
MOCK202606260024,mock_user_001,makeup_api:383,Revlon Colorstay Whipped Creme Makeup,exception,paid,shipping_exception,ZTO2471047446,ZTO Express,2026-07-03,false,true,2026-06-18T03:56:29+00:00,2026-06-21T23:56:29+00:00,Mock order only; no real customer data.
MOCK202606260025,mock_user_002,makeup_api:251,Wet n Wild Sharpen Up! Dual Pencil Sharpener,pending_payment,unpaid,not_shipped,,,,true,false,2026-06-14T02:56:29+00:00,2026-06-14T09:56:29+00:00,Mock order only; no real customer data.
MOCK202606260026,mock_user_003,makeup_api:505,Annabelle Biggy Bronzer Haute Gold,paid,paid,processing,,,,true,true,2026-06-05T02:56:29+00:00,2026-06-07T03:56:29+00:00,Mock order only; no real customer data.
MOCK202606260027,mock_user_004,makeup_api:760,Chubby Stick Baby Tint&trade; Moisturizing Lip Colour Balm,paid,paid,shipped,SF8578086509,SF Express,2026-06-30,false,true,2026-06-07T20:56:29+00:00,2026-06-09T19:56:29+00:00,Mock order only; no real customer data.
MOCK202606260028,mock_user_005,makeup_api:322,e.l.f. Studio Flawless Finish Foundation,paid,paid,shipped,YTO1153207695,YTO Express,2026-07-01,false,true,2026-06-09T23:56:29+00:00,2026-06-12T04:56:29+00:00,Mock order only; no real customer data.
MOCK202606260029,mock_user_006,makeup_api:686,DIORBLUSH PRECIOUS ROCKS - Christmas 2017 Limited Edition,completed,paid,delivered,JD2238693189,JD Logistics,2026-06-25,false,true,2026-06-14T17:56:29+00:00,2026-06-15T13:56:29+00:00,Mock order only; no real customer data.
MOCK202606260030,mock_user_007,makeup_api:877,In Your Element Lipstick - Wind,refund_requested,paid,delivered,SF9925330497,SF Express,2026-06-24,false,true,2026-06-24T21:56:29+00:00,2026-06-27T03:56:29+00:00,Mock order only; no real customer data.
MOCK202606260031,mock_user_008,makeup_api:288,Pacifica Mystical Supernatural Eye Shadow Palette,cancelled,refunded,not_shipped,,,,false,false,2026-06-14T06:56:29+00:00,2026-06-16T00:56:29+00:00,Mock order only; no real customer data.
MOCK202606260032,mock_user_001,makeup_api:464,Annabelle Blush,exception,paid,shipping_exception,ZTO9384619382,ZTO Express,2026-07-03,false,true,2026-06-21T17:56:29+00:00,2026-06-22T02:56:29+00:00,Mock order only; no real customer data.
MOCK202606260033,mock_user_002,makeup_api:537,Photo Finish Lash Primer,pending_payment,unpaid,not_shipped,,,,true,false,2026-06-22T13:56:29+00:00,2026-06-24T07:56:29+00:00,Mock order only; no real customer data.
MOCK202606260034,mock_user_003,makeup_api:99,Dr. Hauschka Limited Edition Lipstick Novum,paid,paid,processing,,,,true,true,2026-06-16T16:56:29+00:00,2026-06-18T10:56:29+00:00,Mock order only; no real customer data.
MOCK202606260035,mock_user_004,makeup_api:30,Almay One Coat Get Up & Grow Mascara,paid,paid,shipped,SF1111355528,SF Express,2026-06-30,false,true,2026-06-22T16:56:29+00:00,2026-06-25T14:56:29+00:00,Mock order only; no real customer data.
MOCK202606260036,mock_user_005,makeup_api:481,Pure Anada Loose Mineral Luminous Bronzer,paid,paid,shipped,YTO8214188938,YTO Express,2026-07-01,false,true,2026-06-24T22:56:29+00:00,2026-06-25T01:56:29+00:00,Mock order only; no real customer data.
MOCK202606260037,mock_user_006,makeup_api:488,Maybelline Fit Me Bronzer,completed,paid,delivered,JD9851059379,JD Logistics,2026-06-25,false,true,2026-06-18T20:56:29+00:00,2026-06-22T10:56:29+00:00,Mock order only; no real customer data.
MOCK202606260038,mock_user_007,makeup_api:369,Physicians Formula Mineral Wear Correcting Kit,refund_requested,paid,delivered,SF7377129622,SF Express,2026-06-24,false,true,2026-06-01T00:56:29+00:00,2026-06-03T04:56:29+00:00,Mock order only; no real customer data.
MOCK202606260039,mock_user_008,makeup_api:181,L'Oreal Telescopic Explosion Waterproof Eyeliner Black,cancelled,refunded,not_shipped,,,,false,false,2026-06-05T11:56:29+00:00,2026-06-09T02:56:29+00:00,Mock order only; no real customer data.
MOCK202606260040,mock_user_001,openbeautyfacts:00320590,Neutrogena Norveç Formülü Hızlı Emilen Bakım Kremi,exception,paid,shipping_exception,ZTO8334985615,ZTO Express,2026-07-03,false,true,2026-06-14T14:56:29+00:00,2026-06-14T22:56:29+00:00,Mock order only; no real customer data.
MOCK202606260041,mock_user_002,openbeautyfacts:2050001490049,Bee Beauty Koruyucu Nemlendirici Yüz Kremi 50 ml,pending_payment,unpaid,not_shipped,,,,true,false,2026-06-07T05:56:29+00:00,2026-06-08T00:56:29+00:00,Mock order only; no real customer data.
MOCK202606260042,mock_user_003,makeup_api:415,Physicians Formula Super BB All-in-1 Beauty Balm Cheek & Lip in Berry Pink,paid,paid,processing,,,,true,true,2026-06-19T12:56:29+00:00,2026-06-22T20:56:29+00:00,Mock order only; no real customer data.
MOCK202606260043,mock_user_004,makeup_api:529,#ShapeMatters Palette,paid,paid,shipped,SF8611093854,SF Express,2026-06-30,false,true,2026-06-10T12:56:29+00:00,2026-06-12T20:56:29+00:00,Mock order only; no real customer data.
MOCK202606260044,mock_user_005,makeup_api:876,In Your Element Lipstick - Fire,paid,paid,shipped,YTO3401701560,YTO Express,2026-07-01,false,true,2026-06-20T19:56:29+00:00,2026-06-24T16:56:29+00:00,Mock order only; no real customer data.
MOCK202606260045,mock_user_006,makeup_api:714,DIORSHOW BOLD BROW - Christmas 2017 Limited Edition,completed,paid,delivered,JD6481572505,JD Logistics,2026-06-25,false,true,2026-05-31T22:56:29+00:00,2026-06-04T07:56:29+00:00,Mock order only; no real customer data.
MOCK202606260046,mock_user_007,makeup_api:525,Photo Matte Eyes,refund_requested,paid,delivered,SF2866798724,SF Express,2026-06-24,false,true,2026-06-06T11:56:29+00:00,2026-06-10T06:56:29+00:00,Mock order only; no real customer data.
MOCK202606260047,mock_user_008,makeup_api:662,Dior Holiday Couture Collection,cancelled,refunded,not_shipped,,,,false,false,2026-06-20T02:56:29+00:00,2026-06-22T02:56:29+00:00,Mock order only; no real customer data.
MOCK202606260048,mock_user_001,makeup_api:844,Stay-Matte Oil-Free Makeup,exception,paid,shipping_exception,ZTO8148240111,ZTO Express,2026-07-03,false,true,2026-06-22T12:56:29+00:00,2026-06-24T03:56:29+00:00,Mock order only; no real customer data.
